Albrechtice n.Orl.	Albrechtice nad Orlicí
Albrechtice n.Vlt.	Albrechtice nad Vltavou
Albrechtice v Jiz.h.	Albrechtice v Jizerských horách
Babice n.Svit.	Babice nad Svitavou
Bakov n.Jiz.	Bakov nad Jizerou
Bartošovice v Orl.h.	Bartošovice v Orlických horách
Bařice-Vel.Těšany	Bařice-Velké Těšany
Bečov n.Teplou	Bečov nad Teplou
Bělá n.Svit.	Bělá nad Svitavou
Bělá p.Bezd.	Bělá pod Bezdězem
Bělá p.Prad.	Bělá pod Pradědem
Běleč n.Orl.	Běleč nad Orlicí
Benátky n.Jiz.	Benátky nad Jizerou
Benešov n.Černou	Benešov nad Černou
Benešov n.Pl.	Benešov nad Ploučnicí
Bernartice n.Odrou	Bernartice nad Odrou
Bezděkov n.Met.	Bezděkov nad Metují
Bezděkov p.Tř.	Bezděkov pod Třemšínem
Bílovice n.Svit.	Bílovice nad Svitavou
Bílý Kostel n.Nisou	Bílý Kostel nad Nisou
Blatnice p.Sv.Antonínkem	Blatnice pod Svatým Antonínkem
Bohuslavice n.Vláří	Bohuslavice nad Vláří
Bohušovice n.Ohří	Bohušovice nad Ohří
Boršov n.Vlt.	Boršov nad Vltavou
Brandýs n.L.-St.Bol.	Brandýs nad Labem-Stará Boleslav
Brandýs n.Orl.	Brandýs nad Orlicí
Brod n.Dyjí	Brod nad Dyjí
Brozany n.Ohří	Brozany nad Ohří
Březí n.Osl.	Březí nad Oslavou
Březová n.Svit.	Březová nad Svitavou
Budišov n.Bud.	Budišov nad Budišovkou
Budyně n.Ohří	Budyně nad Ohří
Bukovina n.L.	Bukovina nad Labem
Bystrá n.Jiz.	Bystrá nad Jizerou
Bystřice n.Pern.	Bystřice nad Pernštejnem
Bystřice p.Host.	Bystřice pod Hostýnem
Bystřice p.Lop.	Bystřice pod Lopeníkem
Cerekvice n.Bystř.	Cerekvice nad Bystřicí
Cerekvice n.Loučnou	Cerekvice nad Loučnou
Čechy p.Kosířem	Čechy pod Kosířem
Čenkov u Bech.	Čenkov u Bechyně
Čermná n.Orl.	Čermná nad Orlicí
Deštné v Orl.h.	Deštné v Orlických horách
Dětřichov n.Bystř.	Dětřichov nad Bystřicí
Dětřichov u Mor.Třebové	Dětřichov u Moravské Třebové
Dobronice u Bech.	Dobronice u Bechyně
Dolánky n.Ohří	Dolánky nad Ohří
Dolany n.Vlt.	Dolany nad Vltavou
Dol.Staré Město	Dolní Staré Město
Domašov n.Bystř.	Domašov nad Bystřicí
Doudleby n.Orl.	Doudleby nad Orlicí
Dub n.Mor.	Dub nad Moravou
Dvory n.Luž.	Dvory nad Lužnicí
Dvůr Králové n.L.	Dvůr Králové nad Labem
Františkov n.Pl.	Františkov nad Ploučnicí
Frenštát p.Radh.	Frenštát pod Radhoštěm
Frýdlant n.Ost.	Frýdlant nad Ostravicí
Háje n.Jiz.	Háje nad Jizerou
Hamry n.Sáz.	Hamry nad Sázavou
Hluboká n.Vlt.	Hluboká nad Vltavou
Hodkovice n.Mohelkou	Hodkovice nad Mohelkou
Hora Sv.Kateřiny	Hora Svaté Kateřiny
Hora Sv.Šebestiána	Hora Svatého Šebestiána
Horka n.Mor.	Horka nad Moravou
Horka u St.Paky	Horka u Staré Paky
Horky n.Jiz.	Horky nad Jizerou
Hor.Staré Město	Horní Staré Město
Hradec n.Moravicí	Hradec nad Moravicí
Hradec n.Svit.	Hradec nad Svitavou
Hrádek n.Nisou	Hrádek nad Nisou
Hrušovany n.Jev.	Hrušovany nad Jevišovkou
Hustopeče n.Bečvou	Hustopeče nad Bečvou
Chlumec n.Cidl.	Chlumec nad Cidlinou
Jablonec n.Jiz.	Jablonec nad Jizerou
Jablonec n.Nisou	Jablonec nad Nisou
Jablonné n.Orl.	Jablonné nad Orlicí
Jablonné v Podj.	Jablonné v Podještědí
Jakubčovice n.Odrou	Jakubčovice nad Odrou
Jakubov u Mor.Budějovic	Jakubov u Moravských Budějovic
Jamné n.Orl.	Jamné nad Orlicí
Janov n.Nisou	Janov nad Nisou
Janovice n.Úhl.	Janovice nad Úhlavou
Janovice v Podj.	Janovice v Podještědí
Jaroměřice n.Rok.	Jaroměřice nad Rokytnou
Jarošov n.Než.	Jarošov nad Nežárkou
Jeseník n.Odrou	Jeseník nad Odrou
Jestřabí v Krk.	Jestřabí v Krkonoších
Jindřichovice p.Smrkem	Jindřichovice pod Smrkem
Jiřetín p.Bukovou	Jiřetín pod Bukovou
Jiřetín p.Jedlovou	Jiřetín pod Jedlovou
Jiřice u Mor.Budějovic	Jiřice u Moravských Budějovic
Kamenice n.Lipou	Kamenice nad Lipou
Kamýk n.Vlt.	Kamýk nad Vltavou
Kladeruby n.Osl.	Kladeruby nad Oslavou
Kladruby n.L.	Kladruby nad Labem
Klášter Hradiště n.Jiz.	Klášter Hradiště nad Jizerou
Klášterec n.Ohří	Klášterec nad Ohří
Klášterec n.Orl.	Klášterec nad Orlicí
Klenčí p.Čerch.	Klenčí pod Čerchovem
Kobylá n.Vidnavkou	Kobylá nad Vidnavkou
Kostelany n.Mor.	Kostelany nad Moravou
Kostelec n.Č.l.	Kostelec nad Černými lesy
Kostelec n.L.	Kostelec nad Labem
Kostelec n.Orl.	Kostelec nad Orlicí
Kostelec n.Vlt.	Kostelec nad Vltavou
Kostelec u Heřm.Městce	Kostelec u Heřmanova Městce
